,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,3191,malleson garden cottage,3754,brigitte,ward 57,-33.94739,18.476,entire home/apt,497.0,3.0,54,1,238
1,15007,blaauwberg house,59072,dirk,ward 23,-33.80001,18.46063,entire home/apt,2408.0,2.0,29,6,362
2,15068,grande bay,59318,linda,ward 23,-33.78799,18.46082,entire home/apt,2800.0,4.0,0,9,364
3,15077,top relaxed beach living in style,59342,georg,ward 4,-33.85812,18.49043,private room,1944.0,5.0,5,5,295
4,15180,the melkbaai - beachfront,59663,heinri,ward 83,-34.11124,18.82349,entire home/apt,580.0,2.0,0,1,0
5,15199,self catering apartment,59694,alexa,ward 115,-33.91044,18.41239,entire home/apt,2500.0,14.0,2,1,1
6,15285,waterford-guinea fowl self catering,59964,chris+alison,ward 71,-34.03863,18.43128,entire home/apt,1200.0,2.0,9,3,255
7,15331,mountview accommodation,60058,francis,ward 60,-33.97069,18.49697,entire home/apt,596.0,2.0,3,1,180
8,15348,marshrose  luxury self cater accommodation,60141,linda,ward 70,-33.86903,18.62519,private room,573.0,3.0,0,1,0
9,15354,"aurora self catering units, durbanville, cape town",60196,ian,ward 112,-33.82924,18.63144,entire home/apt,650.0,3.0,0,1,364
10,15480,in hip designer district of cape t.,60443,jean,ward 115,-33.92876,18.42247,entire home/apt,550.0,14.0,18,1,282
11,15704,hollywood mansion & spa camps bay with butler,61441,kevin,ward 54,-33.96462,18.37595,entire home/apt,17900.0,4.0,1,7,315
12,16259,chambery - luxury self catering,63255,cheryl,ward 59,-33.99463,18.46505,entire home/apt,871.0,2.0,9,3,82
13,17270,villa carrara w self-catering-views renovated may,66986,henri,ward 115,-33.91073,18.40866,entire home/apt,1357.0,7.0,134,2,361
14,18499,rooms in halaal villa cape town de tijger,71221,abe,ward 2,-33.88856,18.59054,private room,863.0,7.0,0,1,364
15,19271,largo house self catering suite,73439,beverley,ward 59,-33.97905,18.45676,entire home/apt,475.0,2.0,57,3,355
16,19398,apartments on the beach,73779,roger,ward 23,-33.73046,18.43966,entire home/apt,5288.0,5.0,0,1,0
17,19561,apartment in durbanville,74188,cherry,ward 103,-33.84192,18.67661,private room,2926.0,2.0,0,1,365
18,19658,private room,74504,ricardo,ward 5,-33.87058,18.53464,private room,1454.0,7.0,0,1,365
19,19811,marina views,74863,nigel,ward 64,-34.08428,18.47585,entire home/apt,4509.0,14.0,0,1,0
20,20125,double bedr0om to rent,76161,debbie,ward 73,-34.02811,18.48246,private room,1381.0,1.0,0,1,365
21,20263,villa honeywood five star self catering villa,837661,daniel,ward 64,-34.13572,18.42007,entire home/apt,5500.0,3.0,0,2,357
22,20327,"annie, private room 4 2",76740,annemarie,ward 3,-33.88183,18.67086,private room,1469.0,1.0,0,1,0
23,20403,light and bright somerset,76971,bronwyn,ward 84,-34.10303,18.87076,entire home/apt,8000.0,7.0,0,1,365
24,20670,room to let,78185,gill,ward 64,-34.09117,18.48396,private room,1097.0,3.0,0,1,365
25,21097,rooms in family home.,80295,ray,ward 1,-33.87914,18.58121,shared room,735.0,1.0,0,1,0
26,22994,heritage home in cape town suburbs,89107,sandra,ward 58,-33.95733,18.4881,entire home/apt,1024.0,5.0,14,1,38
27,23175,avocet cape town villa - rooms/b&b,79694,harriet,ward 113,-33.83305,18.49519,private room,569.0,1.0,1,7,364
28,24670,the original majestic apartment - kalk bay,100431,grant,ward 64,-34.12549,18.44792,entire home/apt,2000.0,4.0,16,2,329
29,26828,world cup accomodation,114410,stef,ward 57,-33.93596,18.46945,entire home/apt,6612.0,1.0,0,1,0
30,28702,waterford-paddaplek self catering,59964,chris+alison,ward 71,-34.03765,18.43083,hotel room,800.0,2.0,0,3,52
31,28707,waterford-sunbird  b&b suite,59964,chris+alison,ward 71,-34.03644,18.431,entire home/apt,800.0,2.0,4,3,264
32,31359,"halaal guesthouse parow north, wifi, pet friendly",134594,abe (s.a.),ward 21,-33.84955,18.66676,private room,541.0,1.0,0,7,365
33,36347,"cosy, downtown loft with mountain views over rooftop deck",156196,alan,ward 115,-33.92456,18.42238,entire home/apt,614.0,14.0,265,5,59
34,36483,"stylish studio with kitchenette,pool,parking &wifi",156910,dave,ward 107,-33.8212,18.48323,private room,550.0,3.0,37,5,365
35,36485,stunning studio close to the beach cape town,156910,dave,ward 107,-33.81849,18.48452,private room,550.0,3.0,27,5,365
36,36499,lovely garden cottage close to the beach cape town,156910,dave,ward 107,-33.81933,18.48403,entire home/apt,550.0,3.0,31,5,365
37,44334,purple house on jarvis b&b,194391,guido & henk,ward 115,-33.91405,18.41575,private room,1614.0,1.0,23,3,273
38,54730,huge bright sunny 3 bedroom 2 bathroom in fresnaye,253705,michael,ward 54,-33.9216,18.38895,entire home/apt,861.0,365.0,0,1,365
39,60296,apartment cape town,290396,patrick,ward 77,-33.94067,18.41885,entire home/apt,918.0,2.0,72,1,0
40,67439,devil's peak -  separate apartment,328952,angela,ward 77,-33.93478,18.42704,entire home/apt,350.0,3.0,57,1,146
41,68882,luxury hout bay villa -  st clair villa,343151,diane,ward 74,-34.04637,18.3656,entire home/apt,7500.0,5.0,2,2,92
42,82212,perfect beachfront apartment,404176,gayle,ward 54,-33.91788,18.38626,entire home/apt,1543.0,3.0,29,7,263
43,96036,unique town house -green point,510489,christan,ward 115,-33.91113,18.40864,entire home/apt,1760.0,4.0,19,1,92
44,97100,cape cottage,512746,revere,ward 70,-33.88279,18.62065,private room,900.0,3.0,0,1,365
45,101292,chicshak self catering accommodation in muizenberg,531026,carey,ward 64,-34.10314,18.47446,entire home/apt,450.0,1.0,27,1,334
46,103507,the lion room,539579,antony,ward 77,-33.93326,18.40511,private room,2200.0,2.0,43,6,1
47,106673,omega 4. wouldn't you like to safely live here?,552892,mike,ward 23,-33.80488,18.46716,entire home/apt,1022.0,2.0,20,3,360
48,114218,mid-century house with breathtaking views,579839,oliver,ward 77,-33.93903,18.39973,entire home/apt,6583.0,6.0,22,1,80
49,133339,constantia villa - cape town,654987,alice,ward 77,-33.93541,18.40407,private room,929.0,3.0,91,3,268
50,141734,windermere quinns holiday home,689156,sylvia & dieter,ward 84,-34.07655,18.88112,private room,534.0,6.0,1,1,363
51,146905,blue robin beachfront holiday home,710206,pam,ward 23,-33.80229,18.46014,entire home/apt,950.0,7.0,5,2,240
52,154201,harbour place,741709,zelda,ward 64,-34.12805,18.44703,entire home/apt,2200.0,3.0,4,1,209
53,168566,comfortable and easily accessible,793839,karen,ward 83,-34.11119,18.82884,entire home/apt,440.0,3.0,0,1,0
54,218269,spacious heritage cottage in the city-safe&cosy,255784,don & jaco,ward 115,-33.93164,18.40916,entire home/apt,1005.0,2.0,70,6,346
55,231402,braeside house loft apartment,1209960,stuart,ward 115,-33.90974,18.40512,entire home/apt,1171.0,3.0,94,2,334
56,255987,"bellevue manor guest house, sea point, cape town",1345936,gary,ward 54,-33.91478,18.39179,private room,884.0,1.0,27,6,0
57,256976,navine's homestay - ottery,1354282,navine,ward 63,-34.00845,18.51514,private room,300.0,5.0,2,6,178
58,263584,sandyshores self-catering  accommodation blouberg,1383294,sandy,ward 107,-33.82092,18.47877,entire home/apt,850.0,2.0,2,1,365
59,274403,no. 1-isasa (twin/double room),1435034,thomas & elke,ward 84,-34.09128,18.84207,hotel room,1080.0,1.0,5,5,357
60,275095,no. 4-chameleon (self-catering unit),1435034,thomas & elke,ward 84,-34.09156,18.84217,private room,1080.0,2.0,0,5,1
61,275876,"kloof street cottage, huge deck & panoramic views",1441807,martin,ward 115,-33.93109,18.40717,entire home/apt,1156.0,2.0,146,1,24
62,281316,the lions private buffalo apartment,539579,antony,ward 77,-33.93099,18.40566,entire home/apt,2948.0,2.0,20,6,296
63,282586,cottage de la mer with private terrace and dream pool,1384294,patrick v.,ward 54,-33.92659,18.38326,entire home/apt,1959.0,3.0,24,1,360
64,282606,comfortable and pretty room with experienced hosts,77323658,andries,ward 59,-33.99766,18.4682,private room,260.0,2.0,36,4,299
65,283053,braeside house main apartment,1209960,stuart,ward 115,-33.90974,18.40512,entire home/apt,1171.0,3.0,59,2,323
66,286894,spoil yourself in style and comfort,1492767,paul,ward 54,-33.92285,18.38273,entire home/apt,1250.0,90.0,19,2,364
67,291205,"""sevensleepers"" holiday apartment",1512563,hanne,ward 71,-34.07028,18.44949,entire home/apt,850.0,3.0,11,1,361
68,292170,"gay-friendly, city bowl  cape town",1513113,sandra,ward 77,-33.9343,18.42098,private room,350.0,3.0,5,2,363
69,298622,stunning sea view apt in the cape,1539169,diane,ward 61,-34.20866,18.45794,entire home/apt,1607.0,2.0,64,2,365
70,299380,charming budget bedsit in the cape,1539169,diane,ward 61,-34.20766,18.45856,entire home/apt,450.0,2.0,27,2,365
71,357793,city chic meets table mountain,1802190,liliane,ward 115,-33.92414,18.42065,entire home/apt,1745.0,3.0,192,1,89
72,357993,beach view studio with balcony walkout,1811942,shannon,ward 54,-33.96296,18.37931,entire home/apt,1571.0,2.0,101,3,269
73,363935,surfers' dream,1838554,antje,ward 64,-34.10183,18.47495,entire home/apt,1300.0,7.0,4,2,14
74,370531,light & fun house in cape town,1867661,claudia,ward 57,-33.93902,18.46766,entire home/apt,585.0,14.0,18,1,334
75,383141,vredekloof accommodation plataan 2 bedroom house,1920039,natasja,ward 102,-33.8631,18.67752,entire home/apt,1600.0,2.0,0,2,358
76,390198,fabulous views,1952066,rita,ward 54,-33.91239,18.3908,private room,486.0,4.0,48,2,323
77,395538,5-star penthouse with amazing views,1976676,hiske,ward 115,-33.92393,18.42123,entire home/apt,3000.0,5.0,7,1,0
78,400107,camps bay villa with mountain views near the beach,1997313,shirley,ward 54,-33.95259,18.37952,entire home/apt,6000.0,3.0,31,6,1
